Rule_ID,Antecedent_Items,Antecedent_Display_CN,Antecedent_Display_EN,Mechanism_Axis,Evidence_Tier,Test_Hit_N,Risk_Ratio_vs_BaseRate,q_value_BH,Bootstrap_Recurrence,Threshold_Stable_Flag,Governance_Scene,Suggested_Use,Interpretation_Boundary
R01,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0,初始速度 > 50 km/h + 碰撞速度 > 50 km/h,Initial speed > 50 km/h + Impact speed > 50 km/h,speed_energy,core-confirmed,168,1.1881206273978786,0.0010184565435624,1.0,1,speed enforcement and conflict-speed management,priority governance signal,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
R02,VEH_意识到危险前的初始速度_V0___GT_50_0||性别_GESCHL_3-男性,初始速度 > 50 km/h + 男性,Initial speed > 50 km/h + Male,vulnerability_demographic_speed,core-confirmed,142,1.2125191909752353,0.0007344082542297,1.0,1,demographic speed-risk stratification,priority governance signal,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.
R03,VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,碰撞速度 > 50 km/h + 男性,Impact speed > 50 km/h + Male,vulnerability_demographic_speed,core-confirmed,118,1.2654430074704794,0.0001539812051713,1.0,1,demographic speed-risk stratification,priority governance signal,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.
R04,FEATURE_Age_Over60||性别_GESCHL_3-男性,年龄 > 60岁 + 男性,Age > 60 years + Male,vulnerability_demographic,binary-stable confirmed,115,1.2984545641871006,2.97864237479902e-05,1.0,1,individual demographic risk stratification,stable categorical governance signal,Individual vulnerability–demographic stratification axis; use as a demographic risk-stratification cue rather than a directly intervenable body-size mechanism.
R05,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,初始速度 > 50 km/h + 车辆总重 > 1497.5,Initial speed > 50 km/h + Vehicle total weight > 1497.5,vehicle_mass_speed_energy,replayable,95,1.1227238712895982,0.0794862002621549,1.0,1,vehicle mass-speed energy audit signal,auditable but not statistically confirmed signal,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance."
R06,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0,年龄 > 60岁 + 初始速度 > 50 km/h,Age > 60 years + Initial speed > 50 km/h,vulnerability_speed,core-confirmed,54,1.297963840617869,0.002818862165405,1.0,1,VRU vulnerability-sensitive speed and crossing protection,priority governance signal,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
R07,VEH_碰撞时的总重_GEWGES___GT_1497_5||VEH_碰撞速度_VK___GT_50_0,车辆总重 > 1497.5 + 碰撞速度 > 50 km/h,Vehicle total weight > 1497.5 + Impact speed > 50 km/h,vehicle_mass_speed_energy,replayable,79,1.1379506869038334,0.0794862002621549,1.0,1,vehicle mass-speed energy audit signal,auditable but not statistically confirmed signal,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance."
R08,性别_GESCHL_3-男性||路灯_STRABEL_0-无路灯,男性 + 路灯_STRABEL_0-无路灯,Male + 路灯_STRABEL_0-无路灯,lighting_visibility,binary-stable confirmed,86,1.1693486167750469,0.0330351231004554,1.0,1,night lighting and visibility governance,stable categorical governance signal,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
R09,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,初始速度 > 50 km/h + VEH_碰撞前的制动距离_WEGV___GT_0_5,Initial speed > 50 km/h + VEH_碰撞前的制动距离_WEGV___GT_0_5,crash_configuration,replayable,98,1.1039026985201663,0.1039305174103053,1.0,1,conflict type and road-space redesign governance,auditable but not statistically confirmed signal,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
R10,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0,年龄 > 60岁 + 碰撞速度 > 50 km/h,Age > 60 years + Impact speed > 50 km/h,vulnerability_speed,core-confirmed,48,1.3649782780410742,0.0007059522851961,1.0,1,VRU vulnerability-sensitive speed and crossing protection,priority governance signal,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
R11,VEH_碰撞前的制动距离_WEGV___GT_0_5||VEH_碰撞速度_VK___GT_50_0,VEH_碰撞前的制动距离_WEGV___GT_0_5 + 碰撞速度 > 50 km/h,VEH_碰撞前的制动距离_WEGV___GT_0_5 + Impact speed > 50 km/h,crash_configuration,replayable,75,1.1580094786729858,0.0594377616820006,1.0,1,conflict type and road-space redesign governance,auditable but not statistically confirmed signal,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
R12,VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯,碰撞速度 > 50 km/h + 路灯_STRABEL_0-无路灯,Impact speed > 50 km/h + 路灯_STRABEL_0-无路灯,lighting_visibility,core-confirmed,53,1.236206742376822,0.0219886075468807,1.0,1,night lighting and visibility governance,priority governance signal,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
R13,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_车长_LAENGE___GT_4598_5,初始速度 > 50 km/h + 车辆长度 > 4598.5 mm,Initial speed > 50 km/h + Vehicle length > 4598.5 mm,vehicle_geometry_interaction,replayable,88,1.1081430417923308,0.1039305174103053,1.0,0,"vehicle geometry, blind-zone, and VRU protection design",auditable but not statistically confirmed signal,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
R14,VEH_碰撞速度_VK___GT_50_0||VEH_车高_HOEHE___GT_1495_0,碰撞速度 > 50 km/h + 车辆高度 > 1495 mm,Impact speed > 50 km/h + Vehicle height > 1495 mm,vehicle_geometry_interaction,replayable,58,1.155907828076483,0.0794862002621549,1.0,0,"vehicle geometry, blind-zone, and VRU protection design",auditable but not statistically confirmed signal,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
