Candidate_Feature,Family,Missing_Category_Type,Semantic_Group,Source_Group,ConsensusRank,ConsensusScore
公路分类_STRKL_MISSING_OR_UNKNOWN,road_type,pure_missing_unknown,unknown_missing_category,STRKL,5,0.66036629840653
行驶车辆所在车道_FSTREIF_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,行驶车辆所在车道_FSTREIF_MISSING_OR,14,0.5974099798677021
道路类型_STRART_MISSING_OR_UNKNOWN,road_type,pure_missing_unknown,unknown_missing_category,STRART,28,0.5342249065286166
VEH_碰撞预警_COLLWARN1_9-未知,crash_type,pure_missing_unknown,unknown_missing_category,VEH_碰撞预警_COLLWARN1,41,0.5136453839516825
沿道路方向的倾斜趋势_NEIGUNG_9-未知,other,pure_missing_unknown,unknown_missing_category,沿道路方向的倾斜趋势_NEIGUNG,46,0.5067848716636698
酒精作用_MEDALK_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,酒精作用_MEDALK_MISSING_OR,47,0.5019941123275367
VEH_新能源车辆电池包损坏情况_BATDAM_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_新能源车辆电池包损坏情况_BATDAM_MISSING_OR,49,0.49977622667632815
VEH_照明系统类型-近光灯_SWARTA1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_照明系统类型-近光灯_SWARTA1_MISSING_OR,57,0.48609419039401786
VEH_护栏导轨类型_SPLANKE_0-不适用,other,pure_missing_unknown,unknown_missing_category,VEH_护栏导轨类型_SPLANKE,58,0.48605479893152015
主动安全场景_ACSCE_MISSING_OR_UNKNOWN,safety,pure_missing_unknown,unknown_missing_category,ACSCE,66,0.47291585764114197
VEH_与护栏碰撞的事故类型_PLANKEK_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_与护栏碰撞的事故类型_PLANKEK_MISSING_OR,68,0.46731348863963185
VEH_车道保持系统_SPURHAE1_9-未知,lane,pure_missing_unknown,unknown_missing_category,VEH_车道保持系统_SPURHAE1,72,0.46287129709519703
VEH_新能源车辆电池包损坏情况_BATDAM_0-不适用,other,pure_missing_unknown,unknown_missing_category,VEH_新能源车辆电池包损坏情况_BATDAM,73,0.46260836775392733
碰撞前的行驶方向_FZGRI_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,碰撞前的行驶方向_FZGRI_MISSING_OR,75,0.46163848144952546
VEH_自动紧急制动系统_AEB1_1-有，具体未知,safety,partial_unknown_detail,safety_assistance,VEH_自动紧急制动系统_AEB1,79,0.4591233822260569
VEH_是否与柱状物碰撞_COLUCOLLI_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_是否与柱状物碰撞_COLUCOLLI_MISSING_OR,80,0.45907880356629277
