Check,Status,Evidence_File,Key_Value,Required_Condition
Accident overlap is zero.,PASS,Train_Test_Split_Audit.csv,0,Overlap_Accidents == 0
Test not used for imputation fit.,PASS,02_Run_Manifest.json,,test_used_for_imputation_fit == false
Test not used for categorical level fit.,PASS,02_Run_Manifest.json,,test_used_for_category_level_fit == false
02_Run_Manifest confirms sentinel cleaning before imputation,PASS,02_Run_Manifest.json,,sentinel_cleaning_before_imputation == true
02_Run_Manifest confirms sentinel cleaning before physical clipping,PASS,02_Run_Manifest.json,,sentinel_cleaning_before_physical_clipping == true
Test not used for feature selection.,PASS,04_Run_Manifest.json,,test_used_for_feature_selection == false
Test not used for GWO candidate generation.,PASS,04_Run_Manifest.json,,test_used_for_gwo_candidate_generation == false
Final_Consensus_Mechanism_Features has Missing_Category_Type.,PASS,Final_Consensus_Mechanism_Features.csv,,Missing_Category_Type column exists
Final_Consensus_Mechanism_Features has Semantic_Group and Source_Group.,PASS,Final_Consensus_Mechanism_Features.csv,,Semantic_Group and Source_Group columns exist
FEATURE_Age_Over60 exists in Ready_Matrix_Train/Test.,PASS,Ready_Matrix_Train.csv;Ready_Matrix_Test.csv,,FEATURE_Age_Over60 column exists in both matrices
Final_Consensus_Mechanism_Features contains FEATURE_Age_Over60.,PASS,Final_Consensus_Mechanism_Features.csv,,FEATURE_Age_Over60 selected
Final_Consensus_Mechanism_Features does not contain raw age columns.,PASS,Final_Consensus_Mechanism_Features.csv,ok,no raw age continuous feature selected
Final selected 25 contains no pure_missing_unknown features.,PASS,Final_Consensus_Mechanism_Features.csv,"{'rows': 25, 'pure_missing': 0}",25 rows and no Missing_Category_Type == pure_missing_unknown
No age_over60 duplicate in selected 25.,PASS,Final_Consensus_Mechanism_Features.csv,1,age_over60 selected count <= 1
Selected 25 contains no ALTERG age-group aliases when FEATURE_Age_Over60 exists.,PASS,Final_Consensus_Mechanism_Features.csv,ok,FEATURE_Age_Over60 selected implies no ALTERG/年龄段 age-group selected
No duplicate one-hot Source_Group in selected 25 unless manifest-documented.,PASS,Final_Consensus_Mechanism_Features.csv;04_Run_Manifest.json,ok,duplicate Source_Group absent or relaxed_source_group_cap_used documented
crash_contact_geometry selected count <= 2.,PASS,Final_Consensus_Mechanism_Features.csv,2,crash_contact_geometry count <= 2
Feature_Semantic_Redundancy_Audit.csv exists.,PASS,Feature_Semantic_Redundancy_Audit.csv,,feature semantic redundancy audit generated
Feature semantic deduplication is train-only.,PASS,04_Run_Manifest.json,,test_used_for_semantic_deduplication == false
Test not used for threshold derivation.,PASS,05_Run_Manifest.json,,test_used_for_threshold_derivation == false
Test not used for FPGrowth rule mining.,PASS,05_Run_Manifest.json,,test_used_for_rule_mining == false
Test not used for final rule filtering.,PASS,05_Run_Manifest.json,,test_used_for_rule_filtering == false
Rule manifest includes Semantic_Group and Source_Group.,PASS,04_Rule_Threshold_Manifest.csv,,Semantic_Group and Source_Group columns exist
04_Rule_Threshold_Manifest has no raw age primary threshold item.,PASS,04_Rule_Threshold_Manifest.csv,0,no ALTER1 age threshold item
Test not used for bootstrap stability.,PASS,07_Run_Manifest.json,,bootstrap_source == train_only_accident_level_group_bootstrap_with_replacement
Evidence grading does not modify primary artifacts.,PASS,07_Run_Manifest.json,,modifies_rules/manifest/features/selected_features == false
Governance diversity outputs are reporting-only.,PASS,07_Run_Manifest.json,,governance_diversity_reporting_only == true
Governance diversity outputs do not modify final rules.,PASS,07_Run_Manifest.json,,governance_diversity_does_not_modify_rules == true and modifies_rules == false
Governance diversity outputs do not modify evidence tiers.,PASS,07_Run_Manifest.json,,governance_diversity_does_not_modify_evidence_tiers == true
Governance diversity outputs do not use test set for rule selection.,PASS,07_Run_Manifest.json,,governance_diversity_does_not_use_test_for_selection == true
No rule-mining threshold was changed for diversity reporting.,PASS,07_Run_Manifest.json,,primary_result_not_rerun_for_diversity == true and no_threshold_or_parameter_tuning_for_diversity == true
No evidence-tier threshold was changed for diversity reporting.,PASS,07_Run_Manifest.json,,governance_diversity_does_not_modify_evidence_tiers == true and no_threshold_or_parameter_tuning_for_diversity == true
Test not used for repeated grouped holdout training.,PASS,09_Run_Manifest.json,,test_used_for_repeated_holdout == false
Triplet rules generated train-only.,PASS,10_Triplet_Extension_Manifest.json,,rule_generation_source == train_only and test_used_for_triplet_generation == false
Triplet rules not used to modify primary rules.,PASS,10_Triplet_Extension_Manifest.json,,modifies_primary_rules/manifest/selected_features == false
Manuscript-ready triplets use sentinel-aware replay and audits.,PASS,10_Triplet_Extension_Manifest.json,,ready triplets require sentinel replay/bootstrap/sensitivity/physical audit
Triplet manuscript-ready path keeps test evaluation-only.,PASS,10_Triplet_Extension_Manifest.json,,ready triplets require all test-used-for-selection flags false and evaluation-only true
Triplet_Rule_Evidence_Tiers.csv contains Threshold_Stable_Flag.,PASS,Triplet_Rule_Evidence_Tiers.csv,,Threshold_Stable_Flag column exists
Every main-text triplet has Threshold_Stable_Flag == 1.,PASS,Main_Text_Triplet_Rule_Table.csv,6,all main-text triplet Threshold_Stable_Flag values equal 1
Every main-text triplet has a core-confirmed or binary-stable confirmed Evidence_Tier.,PASS,Main_Text_Triplet_Rule_Table.csv,{'core-confirmed': 6},Evidence_Tier in core-confirmed/binary-stable confirmed
Every main-text triplet has Physical_Mechanism_Valid_Flag == 1.,PASS,Main_Text_Triplet_Rule_Table.csv,6,all main-text triplet Physical_Mechanism_Valid_Flag values equal 1
Triplet core-confirmed tier requires threshold stability.,PASS,10_Triplet_Extension_Manifest.json,,triplet_core_confirmed_requires_threshold_stable == true
Triplet main-text eligibility requires threshold stability.,PASS,10_Triplet_Extension_Manifest.json,,triplet_main_text_requires_threshold_stable == true
Feature size sensitivity does not modify primary selected_n.,PASS,11_Feature_Size_Sensitivity_Manifest.json,,modifies_primary_selected_features == false and primary_selected_n == SELECTED_FEATURE_N
Test not used for feature-space size selection.,PASS,11_Feature_Size_Sensitivity_Manifest.json,,test_used_for_size_selection == false and test_usage == evaluation_only
Feature size sensitivity is evaluation-only and does not modify primary rules.,PASS,11_Feature_Size_Sensitivity_Manifest.json,,evaluation-only sensitivity and modifies_primary_rules/rule_set == false
Test used only for fixed evaluation and blind replay.,PASS,06_Blind_Replay_Manifest.json;09_Run_Manifest.json,,test appears only in evaluation-only stages
Blind replay uses observed source constraints,PASS,06_Blind_Replay_Manifest.json,,blind_replay_uses_observed_source_value_constraint == true
Ready train/test columns aligned.,PASS,Ready_Matrix_Train.csv;Ready_Matrix_Test.csv,True,identical column order
Sentinel_Unknown_Audit.csv exists,PASS,Sentinel_Unknown_Audit.csv,,file exists
Sentinel_Flags_Train.csv exists,PASS,Sentinel_Flags_Train.csv,,file exists
Sentinel_Flags_Test.csv exists,PASS,Sentinel_Flags_Test.csv,,file exists
Sentinel flags are audit-only and not included in Ready_Matrix_Train/Test feature columns,PASS,Sentinel_Flags_Train.csv;Sentinel_Flags_Test.csv,,sentinel flag files exist separately and no flag columns are appended to ready matrices
Zero-collapse audit passed.,PASS,Matrix_Test_Zero_Collapse_Audit.csv,{'ok': 2318},all Status == ok
Physical plausibility audit passed.,PASS,PostProcess_Matrix_Plausibility_Check.csv,0,no physical violations or hard-stop collapse status
Vehicle dimension bounds applied.,PASS,PostProcess_Matrix_Plausibility_Check.csv,"[{'Feature': 'VEH_车长_LAENGE', 'Status': 'ok'}, {'Feature': 'VEH_车宽_BREITE', 'Status': 'ok'}, {'Feature': 'VEH_车高_HOEHE', 'Status': 'ok'}, {'Feature': 'VEH_车长_LAENGE', 'Status': 'physical_bound_check'}, {'Feature': 'VEH_车宽_BREITE', 'Status': 'physical_bound_check'}, {'Feature': 'VEH_车高_HOEHE', 'Status': 'physical_bound_check'}]",vehicle dimension rows have applied bounds and zero postprocess violations
VEHUSAGE not assigned to age.,PASS,Final_Consensus_Mechanism_Features.csv;Feature_Family_Coverage_Audit.csv;04_Rule_Threshold_Manifest.csv;Triplet_Rule_Item_Replay_Audit.csv,0,no VEHUSAGE/USAGE feature has Family == age
Age family contains only age-related features.,PASS,Final_Consensus_Mechanism_Features.csv;Feature_Family_Coverage_Audit.csv;04_Rule_Threshold_Manifest.csv;Triplet_Rule_Item_Replay_Audit.csv,ok,all age-family features match explicit age tokens/labels
04_Rule_Threshold_Manifest contains no pure_missing_unknown items.,PASS,04_Rule_Threshold_Manifest.csv,0,no Missing_Category_Type == pure_missing_unknown
04_Rule_Threshold_Manifest has requires_observed_source_value,PASS,04_Rule_Threshold_Manifest.csv,,requires_observed_source_value column exists
All threshold items require observed source value,PASS,04_Rule_Threshold_Manifest.csv,13,all threshold requires_observed_source_value == 1
Threshold items cannot be triggered by missing or sentinel values,PASS,04_Rule_Threshold_Manifest.csv,,all threshold missing_or_sentinel_values_can_trigger == 0
All threshold items have sentinel flags available,PASS,04_Rule_Threshold_Manifest.csv;05_Run_Manifest.json,0,all threshold sentinel_flag_available == 1
GEWGES manifest rows use vehicle_mass semantics and are not crash/geometry axes.,PASS,04_Rule_Threshold_Manifest.csv,{'GEWGES_manifest_rows': 1},"GEWGES/碰撞时的总重 source_feature rows have family == vehicle_mass, Semantic_Group == vehicle_mass, and Mechanism_Axis not in {crash_configuration, vehicle_geometry_interaction}"
Rule manifest source features exist in train and test.,PASS,04_Rule_Threshold_Manifest.csv,True,all source_feature values exist in both matrices
Rule_Item_Replay_Audit has sentinel hit-rate columns,PASS,Rule_Item_Replay_Audit.csv,,sentinel replay audit columns exist
Rule_Item_Replay_Audit has sentinel and missing-category fields.,PASS,Rule_Item_Replay_Audit.csv,,sentinel and missing-category replay audit columns exist
Rule item replay audit all ok or warnings explicitly flagged.,PASS,Rule_Item_Replay_Audit.csv,{'ok': 25},status values are ok or explicit audit warnings
Final_Rules_Mechanism_Evidence contains no pure_missing_unknown items.,PASS,Final_Rules_Mechanism_Evidence.csv;04_Rule_Threshold_Manifest.csv,[],no final rule antecedent item has Missing_Category_Type == pure_missing_unknown
Final_Rules_Mechanism_Evidence contains no raw age item.,PASS,Final_Rules_Mechanism_Evidence.csv,ok,no raw age antecedent item
GEWGES rules are not labeled crash_configuration or vehicle_geometry_interaction.,PASS,06F_Rule_Evidence_Tiers.csv,[],GEWGES/碰撞时的总重 Mechanism_Axis != crash_configuration
Age + sex rules are not labeled vulnerability_body.,PASS,06F_Rule_Evidence_Tiers.csv,[],age+sex Mechanism_Axis != vulnerability_body
06F_Rule_Evidence_Tiers has Physical_Evidence_Tier,PASS,06F_Rule_Evidence_Tiers.csv,,Physical_Evidence_Tier column exists
Evidence tier does not modify rules.,PASS,06F_Rule_Evidence_Tiers.csv;07_Run_Manifest.json,True,evidence Rule_ID set equals final rules and modifies_rules == false
No primary rule contains duplicate Semantic_Group,PASS,Final_Rules_Mechanism_Evidence.csv;04_Rule_Threshold_Manifest.csv,0,duplicate Semantic_Group count == 0
No triplet rule contains duplicate Semantic_Group,PASS,Triplet_Rule_Extension_Report.csv;04_Rule_Threshold_Manifest.csv,0,duplicate Semantic_Group count == 0
Main_Text_Rule_Table has Physical_Evidence_Tier,PASS,Main_Text_Rule_Table.csv,,Physical_Evidence_Tier column exists
Main_Text_Rule_Table has semantic display labels.,PASS,Main_Text_Rule_Table.csv,,display label columns exist
Main_Text_Rule_Table does not display raw age column names.,PASS,Main_Text_Rule_Table.csv,,raw age names absent from main table
Main_Text_Rule_Table does not display raw GEWGES item names.,PASS,Main_Text_Rule_Table.csv,,GEWGES rules use vehicle total weight display labels
Age rules use semantic display labels.,PASS,Main_Text_Rule_Table.csv,,年龄 > 60岁 / Age > 60 years
Main_Text_Rule_Table contains no pure_missing_unknown items.,PASS,Main_Text_Rule_Table.csv;04_Rule_Threshold_Manifest.csv,[],no main-text antecedent item has Missing_Category_Type == pure_missing_unknown
Governance_Diversity_Summary does not label missing-category-only axes as priority governance target.,PASS,Governance_Diversity_Summary.csv,0,data-availability/redundancy axes are not priority governance target
No sentinel-dominated rule is interpreted as physical core-confirmed,PASS,06F_Rule_Evidence_Tiers.csv,0,sentinel-dominated confirmed rules have Physical_Evidence_Tier downgraded
No Physical_Mechanism_Valid_Flag == 0 rule is interpreted as physical core-confirmed.,PASS,06F_Rule_Evidence_Tiers.csv,0,invalid physical mechanism rules have downgraded Physical_Evidence_Tier
Threshold_Stable_Flag requires both hit stability and lift stability,PASS,06F_Rule_Evidence_Tiers.csv;07_Run_Manifest.json,,continuous thresholds require Test_Hit_N_Min and Test_Lift_Min criteria
Main text table includes every primary manuscript rule.,PASS,Main_Text_Rule_Table.csv;06F_Rule_Evidence_Tiers.csv,"{'missing': [], 'excess': []}",Rule_ID set equals core-confirmed/binary-stable confirmed/replayable evidence tiers
Feature size sensitivity criterion is clearly labeled.,PASS,Feature_Space_Size_Sensitivity.csv,"['Axis_Herfindahl_Index', 'Candidate_2Item_N', 'Candidate_3Item_N', 'Candidate_Item_N', 'Confirmed_or_BinaryStable_Criterion_N_if_evaluated', 'Covered_Families', 'Criterion_Note', 'Deprecated_CoreLike_N_if_evaluated', 'Dominant_Axis', 'Evaluation_Only', 'Family_Coverage_N', 'Final_Train_Rule_N', 'Frequent_Itemset_N', 'Interpretation_Complexity', 'Is_Primary_Analysis', 'Logistic_AUPRC', 'Logistic_AUROC', 'Max_Family_Count', 'Missing_Mandatory_Families', 'RandomForest_AUPRC', 'RandomForest_AUROC', 'Redundancy_Index', 'Replayable_Rule_N', 'Rule_Axis_Coverage_N', 'Rule_Mining_Status', 'Selected_N', 'Test_Hit_N_Median', 'Test_Hit_N_Min', 'Test_RR_Median', 'Test_Used_For_Size_Selection', 'Train_Rule_Candidate_N', 'XGBoost_AUPRC', 'XGBoost_AUROC', 'q_lt_0_05_N']",no Core_Confirmed_N_if_evaluated column; criterion count and note present
Age alias self-combination excluded from Main_Text_Rule_Table,PASS,Main_Text_Rule_Table.csv,False,ALTER1>60 and Age_Group=old do not co-occur in one displayed rule
