Triplet_Rule_ID,Antecedent_Items,Antecedent_Display_CN,Antecedent_Display_EN,Evidence_Tier,Governance_Use,Physical_Mechanism_Valid_Flag,Threshold_Stable_Flag,Threshold_Hit_OK,Threshold_Lift_OK,Manuscript_Eligible_Triplet_Flag,Main_Text_Eligible_Triplet_Flag,Interpretation_Check
T01,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0,年龄 > 60岁 + 初始速度 > 50 km/h + 碰撞速度 > 50 km/h,Age > 60 years + Initial speed > 50 km/h + Impact speed > 50 km/h,core-confirmed,priority_governance_target,1,1,1,1,1,1,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。
T02,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_车宽_BREITE___GT_1800_0,年龄 > 60岁 + 碰撞速度 > 50 km/h + 车辆宽度 > 1800 mm,Age > 60 years + Impact speed > 50 km/h + Vehicle width > 1800 mm,statistically confirmed,confirmatory_monitoring_signal,1,0,0,1,1,0,Statistically confirmed but threshold-sensitive; use as supplementary monitoring evidence rather than a primary governance rule.
T03,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||路灯_STRABEL_0-无路灯,年龄 > 60岁 + 初始速度 > 50 km/h + 路灯_STRABEL_0-无路灯,Age > 60 years + Initial speed > 50 km/h + 路灯_STRABEL_0-无路灯,replayable,replayed_without_confirmatory_evidence,1,1,1,1,0,0,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。
T04,FEATURE_Age_Over60||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,年龄 > 60岁 + 路灯_STRABEL_0-无路灯 + 男性,Age > 60 years + 路灯_STRABEL_0-无路灯 + Male,replayable,replayed_without_confirmatory_evidence,1,1,1,1,0,0,个体脆弱性—人口学分层轴线，适合作为年龄/性别等人群分层下的风险识别线索，不应解释为体格或可直接干预因素。
T05,VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,碰撞速度 > 50 km/h + 路灯_STRABEL_0-无路灯 + 男性,Impact speed > 50 km/h + 路灯_STRABEL_0-无路灯 + Male,core-confirmed,priority_governance_target,1,1,1,1,1,1,个体脆弱性—人口学/速度分层轴线，适合作为速度暴露下的人群分层风险线索，不应解释为体格机制。
T06,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,年龄 > 60岁 + 碰撞速度 > 50 km/h + VEH_碰撞前的制动距离_WEGV___GT_0_5,Age > 60 years + Impact speed > 50 km/h + VEH_碰撞前的制动距离_WEGV___GT_0_5,core-confirmed,priority_governance_target,1,1,1,1,1,1,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。
T07,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,年龄 > 60岁 + 碰撞速度 > 50 km/h + 男性,Age > 60 years + Impact speed > 50 km/h + Male,core-confirmed,priority_governance_target,1,1,1,1,1,1,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。
T08,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,年龄 > 60岁 + 初始速度 > 50 km/h + 车辆总重 > 1497.5,Age > 60 years + Initial speed > 50 km/h + Vehicle total weight > 1497.5,replayable,replayed_without_confirmatory_evidence,1,0,0,1,0,0,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。
T09,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_车长_LAENGE___GT_4598_5,年龄 > 60岁 + 碰撞速度 > 50 km/h + 车辆长度 > 4598.5 mm,Age > 60 years + Impact speed > 50 km/h + Vehicle length > 4598.5 mm,replayable,replayed_without_confirmatory_evidence,1,0,0,1,0,0,车辆几何—脆弱性分层轴线，适合作为车辆几何与VRU脆弱性共同出现的风险线索。
T10,VEH_意识到危险前的初始速度_V0___GT_50_0||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,初始速度 > 50 km/h + 路灯_STRABEL_0-无路灯 + 男性,Initial speed > 50 km/h + 路灯_STRABEL_0-无路灯 + Male,replayable,replayed_without_confirmatory_evidence,1,1,1,1,0,0,个体脆弱性—人口学/速度分层轴线，适合作为速度暴露下的人群分层风险线索，不应解释为体格机制。
T11,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯,初始速度 > 50 km/h + 碰撞速度 > 50 km/h + 路灯_STRABEL_0-无路灯,Initial speed > 50 km/h + Impact speed > 50 km/h + 路灯_STRABEL_0-无路灯,replayable,replayed_without_confirmatory_evidence,1,1,1,1,0,0,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。
T12,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_车宽_BREITE___GT_1800_0,年龄 > 60岁 + 初始速度 > 50 km/h + 车辆宽度 > 1800 mm,Age > 60 years + Initial speed > 50 km/h + Vehicle width > 1800 mm,replayable,replayed_without_confirmatory_evidence,1,0,0,1,0,0,车辆几何—脆弱性分层轴线，适合作为车辆几何与VRU脆弱性共同出现的风险线索。
T13,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,年龄 > 60岁 + 碰撞速度 > 50 km/h + 车辆总重 > 1497.5,Age > 60 years + Impact speed > 50 km/h + Vehicle total weight > 1497.5,statistically confirmed,confirmatory_monitoring_signal,1,0,0,1,1,0,Statistically confirmed but threshold-sensitive; use as supplementary monitoring evidence rather than a primary governance rule.
T14,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||体重估计_GEWPG___GT_70_0,初始速度 > 50 km/h + 碰撞速度 > 50 km/h + 体重估计_GEWPG___GT_70_0,Initial speed > 50 km/h + Impact speed > 50 km/h + 体重估计_GEWPG___GT_70_0,replayable,replayed_without_confirmatory_evidence,1,0,0,1,0,0,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。
T15,VEH_碰撞速度_VK___GT_50_0||公路分类_STRKL_1-公路以外的其他道路||VEH_车高_HOEHE___GT_1495_0,碰撞速度 > 50 km/h + 公路分类_STRKL_1-公路以外的其他道路 + 车辆高度 > 1495 mm,Impact speed > 50 km/h + 公路分类_STRKL_1-公路以外的其他道路 + Vehicle height > 1495 mm,replayable,replayed_without_confirmatory_evidence,1,0,0,0,0,0,道路环境-速度轴线，适合支持普通路段、交叉口/路段过渡区、车道组织和VRU通行空间治理。
T16,FEATURE_Age_Over60||路灯_STRABEL_0-无路灯||VEH_碰撞时的总重_GEWGES___GT_1497_5,年龄 > 60岁 + 路灯_STRABEL_0-无路灯 + 车辆总重 > 1497.5,Age > 60 years + 路灯_STRABEL_0-无路灯 + Vehicle total weight > 1497.5,replayable,replayed_without_confirmatory_evidence,1,0,0,1,0,0,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。
T17,FEATURE_Age_Over60||性别_GESCHL_3-男性||VEH_碰撞时的总重_GEWGES___GT_1497_5,年龄 > 60岁 + 男性 + 车辆总重 > 1497.5,Age > 60 years + Male + Vehicle total weight > 1497.5,core-confirmed,priority_governance_target,1,1,1,1,1,1,个体脆弱性—人口学分层轴线，适合作为年龄/性别等人群分层下的风险识别线索，不应解释为体格或可直接干预因素。
T18,VEH_碰撞速度_VK___GT_50_0||体重估计_GEWPG___GT_70_0||性别_GESCHL_3-男性,碰撞速度 > 50 km/h + 体重估计_GEWPG___GT_70_0 + 男性,Impact speed > 50 km/h + 体重估计_GEWPG___GT_70_0 + Male,replayable,replayed_without_confirmatory_evidence,1,0,0,1,0,0,个体脆弱性-体格轴线，适合作为伤害易感性分层线索，不应解释为可直接干预因果因素。
