Mechanism_Axis,Rule_Universe_N,Frozen_Rule_N,Main_Text_Primary_N,Core_Confirmed_N,Binary_Stable_Confirmed_N,Statistically_Confirmed_N,Replayable_N,Exploratory_N,Best_Test_RR,Median_Test_RR,Max_Test_Hit_N,Governance_Action_Domain,Evidence_Use_Boundary,Universe_Family_Distribution,Frozen_Family_Distribution,Reporting_Role
speed_energy,54,1,1,1,0,0,0,0,1.1881206273978786,1.1881206273978786,168,speed management and conflict-speed reduction,"Evidence summary only; does not modify selected features, rule universe, thresholds, sorting, or evidence tier.",age:10||bio:15||crash_type:17||light:5||other:1||road_type:8||speed_v0:54||speed_vk:54||vehicle_mass:9||vehicle_size:23,speed_v0:1||speed_vk:1,confirmed primary evidence
vulnerability_speed,22,2,2,2,0,0,0,0,1.3649782780410742,1.3314710593294716,54,vulnerable-user-sensitive crossing protection,"Evidence summary only; does not modify selected features, rule universe, thresholds, sorting, or evidence tier.",age:22||bio:10||crash_type:11||light:4||road_type:3||speed_v0:12||speed_vk:10,age:2||speed_v0:1||speed_vk:1,confirmed primary evidence
vulnerability_body,17,0,0,0,0,0,0,0,,,0,injury susceptibility stratification,"Evidence summary only; vulnerability/body-size patterns are stratification signals, not directly intervenable causal factors.",age:2||bio:17||crash_type:4||light:2||road_type:2||speed_v0:4||speed_vk:4||vehicle_mass:1||vehicle_size:3,,present in train-mined universe but not confirmed
vulnerability_demographic,18,1,1,0,1,0,0,0,1.2984545641871006,1.2984545641871006,115,individual demographic risk stratification,Individual vulnerability–demographic stratification axis; use as a demographic risk-stratification cue rather than a directly intervenable body-size mechanism.,age:18||bio:18||crash_type:12||light:2||road_type:5||vehicle_mass:6,age:1||bio:1,confirmed primary evidence
vulnerability_demographic_speed,49,2,2,2,0,0,0,0,1.2654430074704794,1.2389810992228574,142,demographic speed-risk stratification,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.,bio:49||crash_type:21||light:4||other:4||road_type:11||speed_v0:23||speed_vk:26||vehicle_size:30||vehicle_state:1,bio:2||speed_v0:1||speed_vk:1,confirmed primary evidence
vehicle_geometry_vulnerability,102,0,0,0,0,0,0,0,,,0,vehicle geometry and vulnerability stratification,Vehicle geometry and vulnerability stratification signal; do not interpret demographic strata as body-size mechanisms.,age:102||bio:27||crash_type:52||other:1||road_type:17||speed_v0:10||speed_vk:8||vehicle_mass:20||vehicle_size:102,,present in train-mined universe but not confirmed
road_speed_environment,18,1,1,0,0,0,1,0,1.0436278647016817,1.0436278647016817,73,road-space and channelization governance,"Evidence summary only; does not modify selected features, rule universe, thresholds, sorting, or evidence tier.",crash_type:8||road_type:18||speed_v0:8||speed_vk:10||vehicle_size:13,road_type:1||speed_v0:1,replayable governance cue
vehicle_geometry_interaction,44,2,2,0,0,0,2,0,1.155907828076483,1.1320254349344068,88,"vehicle geometry, blind-zone, and VRU protection design","Evidence summary only; does not modify selected features, rule universe, thresholds, sorting, or evidence tier.",crash_type:26||lane:1||light:5||speed_v0:16||speed_vk:23||vehicle_mass:3||vehicle_size:44,speed_v0:1||speed_vk:1||vehicle_size:2,replayable governance cue
vehicle_mass_speed_energy,81,2,2,0,0,0,2,0,1.1379506869038334,1.1303372790967159,95,vehicle mass-speed energy audit signal,"Evidence summary only; vehicle mass/inertia combined with speed exposure is an audit-level signal, not crash configuration governance.",age:24||bio:21||crash_type:31||light:9||other:3||road_type:16||speed_v0:29||speed_vk:35||vehicle_mass:81||vehicle_size:33,speed_v0:1||speed_vk:1||vehicle_mass:2,replayable governance cue
lighting_visibility,9,2,2,1,1,0,0,0,1.236206742376822,1.2027776795759344,86,lighting and visibility governance,"Evidence summary only; does not modify selected features, rule universe, thresholds, sorting, or evidence tier.",age:2||bio:2||crash_type:3||lane:2||light:9||speed_v0:2||speed_vk:2,bio:1||light:2||speed_vk:1,confirmed primary evidence
surface_weather_friction,0,0,0,0,0,0,0,0,,,0,low-friction surface and adverse-weather governance,"Evidence summary only; does not modify selected features, rule universe, thresholds, sorting, or evidence tier.",,,not observed under current train-only candidate criteria
safety_assistance,0,0,0,0,0,0,0,0,,,0,vehicle active-safety governance,"Evidence summary only; does not modify selected features, rule universe, thresholds, sorting, or evidence tier.",,,not observed under current train-only candidate criteria
crash_configuration,16,2,2,0,0,0,2,0,1.1580094786729858,1.1309560885965761,98,crash-configuration-specific prevention,"Evidence summary only; does not modify selected features, rule universe, thresholds, sorting, or evidence tier.",age:12||crash_type:16||road_type:5||speed_v0:1||speed_vk:3,crash_type:2||speed_v0:1||speed_vk:1,replayable governance cue
mixed_multimechanism,1,0,0,0,0,0,0,0,,,0,cross-mechanism audit and case review,Evidence summary only; use with case-level replay context because no single mechanism dominates.,age:1||road_type:1,,present in train-mined universe but not confirmed
